,Date,Open,High,Low,Close
4871,2004-12-07,1.3417,1.3467,1.3386,1.342
4870,2004-12-08,1.3331,1.3432,1.319,1.3336
4869,2004-12-09,1.3329,1.336,1.3248,1.3308
4868,2004-12-10,1.3324,1.3329,1.3136,1.3236
4867,2004-12-13,1.3202,1.3328,1.3185,1.3308
4866,2004-12-14,1.332,1.3334,1.3256,1.3293
4865,2004-12-15,1.3298,1.3444,1.3257,1.34
4864,2004-12-16,1.3402,1.3429,1.32,1.3242
4863,2004-12-17,1.3229,1.3315,1.3222,1.3306
4862,2004-12-20,1.3322,1.341,1.3293,1.3393
4861,2004-12-21,1.3388,1.3408,1.3348,1.3366
4860,2004-12-22,1.336,1.3403,1.3341,1.3387
4859,2004-12-23,1.3391,1.3516,1.3378,1.351
4858,2004-12-24,1.3499,1.3547,1.3481,1.3524
4857,2004-12-27,1.3525,1.3638,1.351,1.3611
4856,2004-12-28,1.3614,1.364,1.3585,1.3609
4855,2004-12-29,1.3609,1.3645,1.3552,1.3603
4854,2004-12-30,1.3645,1.3667,1.3572,1.3634
4853,2004-12-31,1.3645,1.366,1.3509,1.3552
4852,2005-01-03,1.3552,1.358,1.338,1.3466
4851,2005-01-04,1.3478,1.3494,1.3245,1.3272
4850,2005-01-05,1.3265,1.3301,1.3207,1.3258
4849,2005-01-06,1.3258,1.328,1.315,1.3172
4848,2005-01-07,1.3164,1.3249,1.302,1.305
4847,2005-01-10,1.3087,1.312,1.3044,1.3075
4846,2005-01-11,1.3085,1.317,1.3063,1.3106
4845,2005-01-12,1.3119,1.3292,1.3078,1.325
4844,2005-01-13,1.3263,1.3272,1.3191,1.3214
4843,2005-01-14,1.3198,1.3222,1.3051,1.3107
4842,2005-01-17,1.3097,1.3128,1.3056,1.3063
4841,2005-01-18,1.3071,1.3072,1.2992,1.3021
4840,2005-01-19,1.3028,1.3118,1.296,1.3006
4839,2005-01-20,1.2991,1.3022,1.2918,1.2964
4838,2005-01-21,1.2953,1.3065,1.2927,1.3042
4837,2005-01-24,1.3041,1.3099,1.3022,1.3056
4836,2005-01-25,1.3058,1.3075,1.294,1.297
4835,2005-01-26,1.2962,1.3107,1.2962,1.308
4834,2005-01-27,1.3068,1.3123,1.3006,1.3042
4833,2005-01-28,1.3035,1.3079,1.2982,1.3036
4832,2005-01-31,1.3033,1.3058,1.297,1.3033
4831,2005-02-01,1.3022,1.3063,1.2997,1.3042
4830,2005-02-02,1.305,1.3093,1.3006,1.3023
4829,2005-02-03,1.3039,1.3042,1.2937,1.297
4828,2005-02-04,1.2964,1.3042,1.2863,1.2872
4827,2005-02-07,1.2869,1.2869,1.2728,1.2755
4826,2005-02-08,1.2774,1.2797,1.273,1.2762
4825,2005-02-09,1.2791,1.2812,1.2735,1.281
4824,2005-02-10,1.2878,1.2905,1.2738,1.2876
4823,2005-02-11,1.2878,1.2897,1.2841,1.2865
4822,2005-02-14,1.2961,1.299,1.2853,1.2973
4821,2005-02-15,1.2961,1.3051,1.2948,1.3023
4820,2005-02-16,1.3014,1.3063,1.2956,1.303
4819,2005-02-17,1.3039,1.3088,1.3011,1.3068
4818,2005-02-18,1.307,1.3083,1.3009,1.3065
4817,2005-02-21,1.3059,1.3078,1.3028,1.3063
4816,2005-02-22,1.3068,1.3262,1.3051,1.3257
4815,2005-02-23,1.3257,1.3273,1.3181,1.3208
4814,2005-02-24,1.3229,1.327,1.3172,1.3193
4813,2005-02-25,1.32,1.3246,1.3142,1.3244
4812,2005-02-28,1.3242,1.3278,1.3216,1.3222
4811,2005-03-01,1.3183,1.3243,1.3164,1.3183
4810,2005-03-02,1.3185,1.3191,1.3084,1.3132
4809,2005-03-03,1.3134,1.3164,1.3093,1.3106
4808,2005-03-04,1.3107,1.3258,1.3087,1.3236
4807,2005-03-07,1.323,1.3247,1.3176,1.3209
